trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,enable_trailing_take_profit,take_profit_levels,take_profit_size_percentages
1,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.02,0.055,0.0,1.0,0.1,1.0,False,False,False,long,3.14,42.33,660,3,True,True,True,False,bearish,False,28,89,229,17,2.74,9,16,70,41,91,19,48,2.89,0.75,0.3274,True,29,0.12,True,47,2.99,True,24,41,20,False,27,39.4,True,True,1.89,True,6,True,13,-0.15,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[33, 117, 229]",False,[5.5],[100.0]
2,Random (Initial Phase),,False,0.99,1.0,0.62,3.47,1.4,3.85,False,False,False,long,2.09,24.46,199,6,False,True,True,False,bearish,False,24,40,89,16,0.97,1,26,61,30,90,5,35,1.6,2.63,0.1171,False,36,0.6438,False,35,1.59,False,20,58,13,False,27,39.4,True,False,2.29,False,11,False,35,-0.1,5m,5m,PARTIUSDT,13.0,0.6923076923076923,7.161335821511077,31.88365214465999,1.3703085965940989,0.5508719862700828,1.7940625678178252,0.5769230769230751,0.0,5.0,7.0,0.0,5.0,0.0,0.0,29.411764705882355,41.17647058823529,0.0,29.411764705882355,0.0,0.0,"[22, 140, 263]",True,"[2.5, 4.1, 4.7]","[33.33, 33.33, 33.33]"
3,Random (Initial Phase),,False,0.99,1.0,0.9,1.29,0.51,1.0,True,False,False,long,1.49,37.43,195,8,True,True,True,False,bullish,False,5,90,158,14,2.12,2,7,55,31,86,3,57,2.62,1.33,0.3933,False,36,0.6438,False,35,1.59,True,19,49,5,False,27,39.4,False,False,2.29,True,13,False,35,-0.1,5m,5m,PARTIUSDT,19.0,0.3684210526315789,-31.810233794292213,126.53753890335202,0.2309746998169312,-1.6742228312785374,3.826129768188253,0.6710526315789398,0.0,13.0,4.0,1.0,0.0,0.0,0.0,72.22222222222221,22.22222222222222,5.555555555555555,0.0,0.0,0.0,"[32, 148, 231]",False,"[1.3, 2.0]","[50.0, 50.0]"
4,Random (Initial Phase),,False,0.99,1.0,0.45,3.23,1.14,1.0,False,False,False,long,4.19,48.04,360,5,False,True,True,False,bearish,False,21,47,159,20,2.0,5,12,64,23,94,6,22,1.73,2.15,0.4771,False,36,0.6438,True,38,2.45,False,20,58,13,True,38,36.2,False,False,2.29,True,15,False,35,-0.1,5m,5m,PARTIUSDT,5.0,0.8,12.27124880125005,18.17503403155242,2.4822635115877687,2.45424976025001,0.6779761987499999,0.6000000000000055,0.0,1.0,4.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,"[46, 73, 222]",False,"[3.4, 5.0]","[50.0, 50.0]"
5,Random (Initial Phase),,False,0.99,1.0,0.16,0.52,0.71,1.0,True,False,False,both,3.03,47.54,610,1,True,True,True,False,bullish,False,26,132,69,20,3.35,2,10,74,25,98,14,47,2.29,2.46,0.5914,False,36,0.6438,True,35,2.2,False,20,58,13,True,37,38.5,False,False,2.29,False,11,True,28,0.13,5m,5m,PARTIUSDT,8.0,0.375,28.6531384142334,6.228833513764895,9.730270796677877,3.5816423017791745,1.8097827923658711,0.7499999999999887,0.0,8.0,0.0,0.0,5.0,0.0,0.0,61.53846153846154,0.0,0.0,38.46153846153847,0.0,0.0,"[29, 52, 215]",False,[3.6],[100.0]
6,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.066,0.049,0.0,1.0,0.1,1.0,False,False,False,long,4.61,27.05,292,9,True,True,True,False,bullish,False,13,31,128,7,1.71,9,30,60,36,95,3,35,1.98,0.51,0.0752,False,36,0.6438,True,14,2.92,True,13,39,10,True,7,32.1,False,True,1.34,True,8,True,40,0.01,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[41, 123, 168]",False,[4.9],[100.0]
7,Random (Initial Phase),,False,0.99,1.0,0.32,4.7,1.04,4.67,False,False,False,both,1.14,45.27,298,3,True,True,True,False,bearish,False,6,147,73,11,3.63,6,13,68,22,84,12,17,2.61,1.91,0.714,False,36,0.6438,True,41,2.27,True,19,52,17,False,27,39.4,True,True,2.33,False,11,True,25,0.17,5m,5m,PARTIUSDT,8.0,0.875,0.5983913555458353,27.288530267847165,1.0859610280814145,0.0747989194432294,0.6728821980991402,0.5624999999999875,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,87.5,12.5,0.0,0.0,0.0,"[26, 64, 200]",True,"[0.7, 1.3, 2.5]","[33.33, 33.33, 33.33]"
8,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.028,0.021,0.0,1.0,0.1,1.0,False,False,False,long,4.81,27.66,625,6,True,True,True,False,bearish,False,17,138,180,8,3.43,2,27,67,21,78,13,14,2.1,0.55,0.3109,True,3,0.56,True,23,3.69,False,20,58,13,False,27,39.4,False,False,2.29,False,11,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[22, 142, 155]",False,[2.1],[100.0]
9,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.027,0.034,0.0,1.0,0.1,1.0,False,False,False,short,0.78,14.12,443,7,True,True,True,False,bearish,False,4,144,105,18,2.58,1,13,74,39,95,27,39,3.93,2.32,0.5866,True,8,0.82,True,44,2.08,False,20,58,13,False,27,39.4,True,True,0.65,False,11,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[43, 108, 168]",False,[3.4],[100.0]
10,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.046,0.039,0.0,1.0,0.1,1.0,False,False,False,long,3.06,49.34,30,11,True,True,True,False,bearish,False,10,139,92,16,2.09,1,5,57,27,90,14,35,3.07,1.85,0.3085,True,32,0.62,False,35,1.59,True,22,46,5,True,34,36.4,False,True,0.65,False,11,True,8,0.01,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[14, 100, 153]",False,[3.9],[100.0]
11,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.47,0.37,0.75,1.0,True,False,False,long,3.21,28.01,272,10,True,True,True,False,bullish,False,10,37,112,5,4.64,4,12,65,40,81,8,58,4.85,1.02,0.2375,False,36,0.6438,True,41,2.01,False,20,58,13,True,33,35.0,False,False,2.29,True,9,True,7,-0.07,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[27, 146, 156]",False,[1.5],[100.0]
12,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.017,0.066,0.0,1.0,0.1,1.0,False,False,False,short,2.64,43.58,355,6,False,True,True,False,bullish,False,16,66,154,11,2.87,4,7,80,32,86,3,16,1.69,1.85,0.1054,False,36,0.6438,True,46,1.96,True,10,37,15,True,13,27.4,True,False,2.29,False,11,True,17,0.15,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[16, 60, 151]",False,[6.6],[100.0]
13,Random (Initial Phase),,False,0.99,1.0,0.17,2.78,0.08,1.0,True,False,False,both,4.46,29.56,595,9,True,True,True,False,bullish,False,12,55,201,15,0.6,2,30,61,38,89,5,33,2.84,1.13,0.6438,True,4,0.16,False,35,1.59,False,20,58,13,False,27,39.4,False,False,2.29,False,11,True,9,0.28,5m,5m,PARTIUSDT,36.0,0.25,-61.823164660611056,196.45398696000456,0.5105789046336777,-1.717310129461418,8.081491564900833,0.7499999999999881,0.0,20.0,6.0,10.0,16.0,0.0,0.0,38.46153846153847,11.538461538461538,19.230769230769237,30.76923076923077,0.0,0.0,"[40, 136, 236]",False,[4.2],[100.0]
14,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.043,0.017,0.0,1.0,0.1,1.0,False,False,False,long,1.39,18.98,522,12,True,True,True,False,bearish,False,14,36,96,5,4.39,9,6,64,16,93,12,56,0.82,2.39,0.9647,True,4,0.46,True,12,1.91,False,20,58,13,True,31,30.1,False,False,2.29,False,11,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[38, 116, 156]",False,[1.7],[100.0]
15,Random (Initial Phase),,False,0.99,1.0,0.11,1.02,0.69,5.62,True,False,False,long,4.96,43.62,44,6,False,True,True,False,bullish,False,16,85,71,17,0.1,3,6,70,38,98,24,23,1.96,1.06,0.2097,False,36,0.6438,True,32,1.83,False,20,58,13,False,27,39.4,False,False,2.29,True,20,True,28,0.12,5m,5m,PARTIUSDT,69.0,0.3623188405797101,-82.80912200039036,313.9498971791421,0.2559749269934731,-1.200132202904208,12.600445132055324,0.7173913043478072,0.0,49.0,14.0,3.0,23.0,0.0,0.0,55.0561797752809,15.730337078651685,3.3707865168539324,25.842696629213485,0.0,0.0,"[14, 125, 292]",True,"[0.9, 3.4, 4.5]","[33.33, 33.33, 33.33]"
16,Random (Waiting for Data: 7/10),No trades or total_symbol_performance.csv not generated,True,0.043,0.018,0.0,1.0,0.1,1.0,False,False,False,short,4.65,19.42,706,10,False,True,True,False,bearish,False,14,43,201,19,2.68,4,6,61,17,86,8,40,4.42,1.89,0.5759,True,10,0.92,True,50,2.5,False,20,58,13,True,36,16.3,True,True,1.33,False,11,True,7,-0.14,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[46, 141, 245]",False,[1.8],[100.0]
17,Random (Waiting for Data: 7/10),,False,0.99,1.0,0.12,1.21,0.27,1.0,True,False,False,short,3.27,20.6,517,4,True,True,True,False,bearish,False,6,134,172,7,1.81,5,29,70,32,86,12,59,4.26,2.0,0.3598,False,36,0.6438,True,44,2.34,False,20,58,13,False,27,39.4,True,False,2.29,False,11,True,32,-0.21,5m,5m,PARTIUSDT,17.0,0.3529411764705882,-18.426207050277142,80.26789731095275,0.3544163912126536,-1.0838945323692435,3.820097749185491,0.7499999999999981,0.0,15.0,1.0,1.0,11.0,0.0,0.0,53.57142857142857,3.571428571428571,3.571428571428571,39.285714285714285,0.0,0.0,"[43, 117, 188]",False,[2.6],[100.0]
18,Random (Waiting for Data: 8/10),No trades or total_symbol_performance.csv not generated,True,0.06,0.048,0.0,1.0,0.1,1.0,False,False,False,long,0.92,40.72,705,10,False,True,True,False,bearish,False,14,46,55,4,4.83,9,6,63,35,97,23,18,1.97,0.73,0.5677,False,36,0.6438,False,35,1.59,True,11,37,13,True,36,17.2,True,True,2.05,True,13,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[43, 130, 235]",False,[4.8],[100.0]
19,Random (Waiting for Data: 8/10),,False,0.99,1.0,0.63,4.99,1.38,1.0,True,False,False,both,1.15,34.45,151,12,False,True,True,False,bullish,False,28,113,72,11,0.87,4,26,69,30,96,27,47,3.29,1.56,0.0202,True,20,0.81,False,35,1.59,False,20,58,13,False,27,39.4,True,True,1.67,True,20,False,35,-0.1,5m,5m,PARTIUSDT,6.0,0.8333333333333334,16.892399216086076,6.431550176018175,8.207426367330338,2.8153998693476794,0.684934800307377,0.4999999999999857,0.0,1.0,5.0,0.0,1.0,0.0,0.0,14.285714285714285,71.42857142857143,0.0,14.285714285714285,0.0,0.0,"[40, 101, 190]",False,"[3.0, 3.4]","[50.0, 50.0]"
20,Random (Waiting for Data: 9/10),No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.14,2.93,0.88,1.0,True,False,False,short,2.97,48.58,314,7,False,True,True,False,bullish,False,28,36,201,3,3.81,3,10,70,24,84,2,56,0.86,2.15,0.1581,True,11,0.27,False,35,1.59,False,20,58,13,True,36,37.0,False,True,0.97,True,13,True,39,0.08,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[13, 111, 226]",False,[0.7],[100.0]
21,Random (Waiting for Data: 9/10),No trades or total_symbol_performance.csv not generated,True,0.023,0.044,0.0,1.0,0.1,1.0,False,False,False,long,1.83,43.52,318,5,False,True,True,False,bullish,False,7,67,171,19,4.73,7,29,80,38,90,28,59,2.87,1.8,0.3951,True,8,0.24,True,11,1.83,True,6,54,5,True,29,29.5,False,True,0.82,False,11,True,24,0.16,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[45, 120, 192]",False,[4.4],[100.0]
22,Random (Waiting for Data: 9/10),No trades or total_symbol_performance.csv not generated,True,0.055,0.02,0.0,1.0,0.1,1.0,False,False,False,both,2.68,9.3,47,1,True,True,True,False,bearish,False,16,51,156,4,4.19,2,30,65,24,87,16,11,1.52,0.6,0.504,False,36,0.6438,False,35,1.59,False,20,58,13,False,27,39.4,False,False,2.29,False,11,True,18,0.29,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[27, 77, 207]",False,[2.0],[100.0]
23,Random (Waiting for Data: 9/10),No trades or total_symbol_performance.csv not generated,True,0.017,0.045,0.0,1.0,0.1,1.0,False,False,False,short,2.88,19.58,649,7,True,True,True,False,bearish,False,15,116,143,13,1.37,3,11,83,31,98,15,53,0.82,0.95,0.3731,True,36,0.19,False,35,1.59,True,22,48,9,True,13,31.9,True,False,2.29,True,9,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[16, 91, 252]",False,[4.5],[100.0]
24,Random (Waiting for Data: 9/10),,False,0.99,1.0,0.61,1.08,0.59,1.0,False,False,False,both,1.14,27.42,257,12,True,True,True,False,bearish,False,15,121,239,3,1.9,8,21,82,15,92,13,49,4.91,0.76,0.0159,False,36,0.6438,False,35,1.59,True,11,54,10,True,10,16.8,False,True,1.17,True,9,True,29,0.23,5m,5m,PARTIUSDT,13.0,0.0769230769230769,-27.26352093913956,109.0540837565582,0.0346051842022568,-2.0971939183953507,2.922821685335788,0.7499999999999698,0.0,13.0,0.0,0.0,4.0,0.0,0.0,76.47058823529412,0.0,0.0,23.52941176470588,0.0,0.0,"[29, 61, 193]",False,"[2.2, 4.4]","[50.0, 50.0]"
25,ML-Guided,,False,0.99,1.0,0.42,1.07,1.22,1.0,True,False,False,both,4.97,19.07,618,11,True,True,True,False,bullish,False,30,91,63,13,3.17,1,18,81,43,93,16,55,1.5,2.37,0.8731,False,36,0.6438,False,35,1.59,True,11,28,11,False,27,39.4,True,True,0.64,True,19,False,35,-0.1,5m,5m,PARTIUSDT,2.0,0.0,-5.81498527750001,23.259941110000028,0.0,-2.907492638750005,0.4489352774999999,0.7499999999999872,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[24, 102, 248]",False,[3.2],[100.0]
26,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.71,4.11,0.21,1.0,False,False,False,short,3.8,37.48,649,5,False,True,True,False,bullish,False,28,126,202,20,2.02,5,26,57,33,98,18,20,4.55,2.99,0.8462,True,10,0.75,True,22,2.72,True,11,35,5,False,27,39.4,True,True,1.86,True,27,True,30,0.26,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[14, 147, 179]",False,"[3.1, 3.8]","[50.0, 50.0]"
27,ML-Guided,,False,0.99,1.0,0.64,5.29,1.16,1.0,True,False,False,short,4.7,35.43,489,10,True,True,True,False,bearish,False,25,50,236,15,0.36,7,20,80,23,96,13,10,2.83,2.37,0.9991,True,30,0.51,False,35,1.59,False,20,58,13,True,39,39.4,True,True,1.37,False,11,False,35,-0.1,5m,5m,PARTIUSDT,9.0,0.7777777777777778,2.874266902496624,19.738582047040865,1.4378538058445098,0.3193629891662916,1.1198276574480248,0.7500000000000002,0.0,1.0,7.0,1.0,0.0,0.0,0.0,11.11111111111111,77.77777777777779,11.11111111111111,0.0,0.0,0.0,"[11, 149, 216]",False,"[1.0, 1.4]","[50.0, 50.0]"
28,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.032,0.066,0.0,1.0,0.1,1.0,False,False,False,short,1.13,46.51,131,8,True,True,True,False,bearish,False,24,140,178,14,1.39,4,26,66,23,96,18,57,4.73,2.61,0.9464,False,36,0.6438,True,27,3.07,True,24,34,10,True,37,26.2,True,True,0.71,False,11,True,30,-0.26,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[41, 141, 297]",False,[6.6],[100.0]
29,ML-Guided,,False,0.99,1.0,0.92,3.98,0.42,1.0,False,False,False,both,4.98,34.37,632,5,True,True,True,False,bearish,False,29,133,182,14,2.46,8,6,78,25,97,14,27,1.27,2.1,0.608,False,36,0.6438,False,35,1.59,True,19,57,16,False,27,39.4,False,False,2.29,True,13,True,18,0.19,5m,5m,PARTIUSDT,15.0,0.4,-72.91702172972612,291.6680869189044,0.1674221075134227,-4.861134781981741,2.6860316468800742,0.6999999999999901,0.0,7.0,6.0,2.0,1.0,0.0,0.0,43.75,37.5,12.5,6.25,0.0,0.0,"[16, 92, 229]",False,"[1.1, 3.0]","[50.0, 50.0]"
30,ML-Guided,,False,0.99,1.0,0.7,0.58,0.95,3.42,False,False,False,long,4.11,41.54,537,9,False,True,True,False,bearish,False,25,87,152,6,4.47,6,14,56,23,97,19,39,3.84,2.55,0.1656,True,20,0.34,True,20,1.63,False,20,58,13,False,27,39.4,True,False,2.29,False,11,False,35,-0.1,5m,5m,PARTIUSDT,1.0,0.0,-1.6706255425000154,6.682502170000064,0.0,-1.6706255425000154,0.2249755425,0.7500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17, 131, 179]",True,"[0.5, 0.9, 2.5]","[33.33, 33.33, 33.33]"
31,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.59,3.65,1.03,5.82,False,False,False,short,1.84,47.96,368,6,False,True,True,False,bearish,False,23,54,145,7,2.16,9,11,61,22,98,17,46,3.15,1.98,0.1932,False,36,0.6438,True,31,2.51,True,19,48,18,False,27,39.4,False,True,0.56,False,11,True,36,0.09,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[36, 80, 152]",True,"[0.5, 1.2, 2.4]","[33.33, 33.33, 33.33]"
32,ML-Guided,,False,0.99,1.0,0.31,2.74,1.12,4.87,True,False,False,short,2.85,43.39,452,5,False,True,True,False,bullish,False,23,71,197,16,2.82,6,25,63,27,96,15,42,4.24,0.93,0.8946,False,36,0.6438,True,38,3.44,True,15,40,19,True,40,27.5,True,False,2.29,False,11,False,35,-0.1,5m,5m,PARTIUSDT,4.0,0.75,-4.3722359479462,28.22739301000004,0.3804265315755854,-1.09305898698655,0.4504148195077972,0.3750000000000015,0.0,1.0,2.0,0.0,1.0,0.0,0.0,25.0,50.0,0.0,25.0,0.0,0.0,"[27, 94, 166]",True,"[1.1, 1.9, 3.4]","[33.33, 33.33, 33.33]"
33,ML-Guided,,False,0.99,1.0,0.99,4.81,1.28,1.0,False,False,False,both,3.11,46.33,224,5,False,True,True,False,bullish,False,27,62,216,4,3.02,9,15,82,27,97,2,43,1.85,0.69,0.4174,True,24,0.26,False,35,1.59,False,20,58,13,False,27,39.4,False,False,2.29,True,12,False,35,-0.1,5m,5m,PARTIUSDT,8.0,0.875,8.304823825486594,9.89231870229519,3.5501393298915684,1.0381029781858242,0.8923576191500865,0.6562499999999891,0.0,1.0,7.0,0.0,1.0,0.0,0.0,11.11111111111111,77.77777777777779,0.0,11.11111111111111,0.0,0.0,"[14, 124, 170]",False,"[0.6, 2.5]","[50.0, 50.0]"
34,ML-Guided,,False,0.99,1.0,0.94,0.3,0.48,4.67,False,False,False,long,2.46,32.58,697,6,True,True,True,False,bullish,False,27,98,110,17,2.31,3,5,76,41,97,15,58,2.5,0.41,0.7445,True,34,0.58,True,10,3.52,False,20,58,13,False,27,39.4,False,False,2.29,True,14,True,31,-0.16,5m,5m,PARTIUSDT,7.0,0.0,-6.822405412499887,27.289621649999543,0.0,-0.974629344642841,1.5746554125,0.7499999999999857,0.0,7.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[28, 122, 238]",True,"[1.7, 1.9, 3.6]","[33.33, 33.33, 33.33]"
35,ML-Guided,,False,0.99,1.0,0.21,1.88,1.32,1.0,False,False,False,long,4.12,43.07,472,4,True,True,True,False,bullish,False,22,129,186,18,2.48,2,24,62,16,98,4,17,1.05,1.34,0.1565,False,36,0.6438,True,29,1.73,False,20,58,13,False,27,39.4,False,True,2.4,True,10,True,30,-0.12,5m,5m,PARTIUSDT,15.0,0.7333333333333333,12.109073913439095,21.75581684292581,1.962780217218886,0.8072715942292731,2.009678871246891,0.7499999999999905,0.0,7.0,8.0,0.0,5.0,0.0,0.0,35.0,40.0,0.0,25.0,0.0,0.0,"[46, 104, 184]",False,"[1.4, 4.2]","[50.0, 50.0]"
36,ML-Guided,,False,0.99,1.0,0.57,4.56,1.1,1.0,False,False,False,both,1.76,49.36,320,10,False,True,True,False,bearish,False,29,86,166,13,3.52,3,13,66,21,80,10,49,3.88,2.95,0.1926,False,36,0.6438,False,35,1.59,False,20,58,13,False,27,39.4,False,False,2.29,False,11,True,28,-0.12,5m,5m,PARTIUSDT,2.0,1.0,5.885047981249995,0.0,1000.0,2.9425239906249976,0.22157701875,0.7500000000000002,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[26, 54, 156]",False,"[1.0, 3.9]","[50.0, 50.0]"
37,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.035,0.021,0.0,1.0,0.1,1.0,False,False,False,long,3.96,46.37,267,11,True,True,True,False,bearish,False,26,37,64,17,4.86,10,26,83,20,89,8,27,4.03,0.9,0.4306,True,21,0.44,True,13,2.25,True,5,33,20,False,27,39.4,True,True,0.42,False,11,True,11,-0.19,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[33, 80, 259]",False,[2.1],[100.0]
38,ML-Guided,,False,0.99,1.0,0.26,5.39,0.16,3.92,True,False,False,short,1.97,26.58,118,5,False,True,True,False,bullish,False,27,65,53,7,0.7,4,14,69,26,97,10,30,3.62,2.12,0.2437,True,20,0.8,True,22,3.62,True,10,46,7,False,27,39.4,False,True,1.29,True,21,True,10,0.06,5m,5m,PARTIUSDT,13.0,0.5384615384615384,-34.95208038777227,147.427285076089,0.1829823026529224,-2.6886215682901744,1.564700679131111,0.6923076923076702,0.0,1.0,7.0,5.0,0.0,0.0,0.0,7.6923076923076925,53.84615384615385,38.46153846153847,0.0,0.0,0.0,"[50, 66, 253]",True,"[0.7, 1.8, 3.6]","[33.33, 33.33, 33.33]"
39,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.028,0.062,0.0,1.0,0.1,1.0,False,False,False,both,1.14,47.91,61,4,False,True,True,False,bearish,False,23,125,89,18,4.85,6,18,69,38,90,12,12,1.74,1.5,0.6911,True,21,0.95,True,46,3.03,False,20,58,13,False,27,39.4,False,False,2.29,True,29,True,28,0.04,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[11, 103, 241]",False,[6.2],[100.0]
40,ML-Guided,,False,0.99,1.0,0.7,5.26,1.16,1.0,True,False,False,short,0.86,46.84,435,7,True,True,True,False,bearish,False,18,149,100,14,0.41,6,30,68,37,83,9,45,2.66,2.16,0.2548,False,36,0.6438,False,35,1.59,True,22,51,6,True,26,22.1,False,False,2.29,False,11,False,35,-0.1,5m,5m,PARTIUSDT,35.0,0.2285714285714285,-83.635901250994,302.03795743130075,0.540707116733914,-2.3895971785998285,7.893060715493186,0.7499999999999837,0.0,4.0,6.0,25.0,4.0,0.0,0.0,10.256410256410255,15.384615384615383,64.1025641025641,10.256410256410255,0.0,0.0,"[19, 150, 280]",False,[4.7],[100.0]
41,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.055,0.065,0.0,1.0,0.1,1.0,False,False,False,long,1.88,47.45,222,6,True,True,True,False,bearish,False,18,142,55,18,2.61,2,21,64,22,98,19,32,2.26,0.66,0.2606,True,14,0.94,True,31,3.58,False,20,58,13,True,33,21.4,True,False,2.29,True,21,True,36,0.18,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[11, 82, 236]",False,[6.5],[100.0]
42,ML-Guided,,False,0.99,1.0,0.55,5.21,0.15,1.0,True,False,False,long,1.23,47.99,460,4,False,True,True,False,bearish,False,27,97,85,20,2.04,5,23,78,44,84,13,14,0.95,1.62,0.227,False,36,0.6438,True,32,1.72,False,20,58,13,True,30,38.3,False,False,2.29,False,11,False,35,-0.1,5m,5m,PARTIUSDT,11.0,0.7272727272727273,-3.920977214037783,61.78310515309672,0.850051608706904,-0.3564524740034348,2.473689920718006,0.7499999999999826,0.0,1.0,8.0,2.0,0.0,0.0,0.0,9.090909090909092,72.72727272727273,18.181818181818183,0.0,0.0,0.0,"[30, 142, 274]",False,[1.2],[100.0]
43,ML-Guided,,False,0.99,1.0,0.33,5.97,0.45,1.0,False,False,False,long,2.73,49.86,85,8,True,True,True,False,bearish,False,10,71,130,20,3.45,4,25,85,25,95,14,54,4.38,0.89,0.9962,False,36,0.6438,True,25,2.84,True,19,41,12,True,24,18.7,False,True,1.17,True,11,True,31,-0.07,5m,5m,PARTIUSDT,5.0,0.4,-35.143209097016594,140.57283638806638,0.1466669774492782,-7.028641819403319,0.8872848340816791,0.749999999999977,0.0,2.0,2.0,1.0,1.0,0.0,0.0,33.33333333333333,33.33333333333333,16.666666666666664,16.666666666666664,0.0,0.0,"[26, 80, 181]",False,"[1.8, 3.2]","[50.0, 50.0]"
44,ML-Guided,,False,0.99,1.0,0.54,4.81,1.39,1.0,True,False,False,short,2.2,43.48,102,5,False,True,True,False,bearish,False,4,76,70,11,1.96,9,19,75,16,77,14,47,3.95,0.89,0.6659,False,36,0.6438,False,35,1.59,False,20,58,13,True,36,21.8,False,False,2.29,True,22,True,30,-0.09,5m,5m,PARTIUSDT,30.0,0.5666666666666667,-62.96258386308987,197.7406835214312,0.4487386525044853,-2.098752795436329,6.758810256956825,0.7499999999999889,0.0,1.0,13.0,16.0,0.0,0.0,0.0,3.333333333333333,43.333333333333336,53.333333333333336,0.0,0.0,0.0,"[26, 102, 211]",False,[1.2],[100.0]
45,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.99,1.45,1.42,1.0,True,False,False,both,0.91,26.58,366,7,True,True,True,False,bearish,False,30,32,65,5,3.47,4,17,82,32,83,3,51,3.09,2.14,0.5568,True,21,0.33,False,35,1.59,True,23,37,18,True,38,27.1,False,False,2.29,True,25,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[19, 108, 198]",False,[1.0],[100.0]
46,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.066,0.057,0.0,1.0,0.1,1.0,False,False,False,long,4.38,42.46,154,7,False,True,True,False,bearish,False,30,91,141,5,2.44,3,11,66,16,94,6,27,2.22,2.97,0.2071,False,36,0.6438,True,22,3.32,False,20,58,13,True,36,17.6,True,False,2.29,True,26,True,8,-0.21,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[23, 74, 278]",False,[5.7],[100.0]
